kind,source,plant,day,value
dispatch,S1,P1,0,0.0
dispatch,S1,P1,1,1459.9999999999927
dispatch,S1,P1,2,1459.9999999999927
dispatch,S1,P1,3,4560.0
dispatch,S1,P1,4,4560.0
dispatch,S1,P1,5,4560.0
dispatch,S1,P1,6,4560.0
dispatch,S1,P1,7,8900.0
dispatch,S1,P1,8,8900.0
dispatch,S1,P1,9,8900.0
dispatch,S1,P1,10,8900.0
dispatch,S1,P1,11,8900.0
dispatch,S1,P1,12,8900.0
dispatch,S1,P1,13,8900.0
dispatch,S1,P1,14,0.0
dispatch,S1,P1,15,0.0
dispatch,S1,P1,16,0.0
dispatch,S1,P1,17,3005.714773073414
dispatch,S1,P1,18,12000.0
dispatch,S1,P1,19,12000.0
dispatch,S1,P1,20,12000.0
dispatch,S1,P1,21,12000.0
dispatch,S1,P1,22,12000.0
dispatch,S1,P1,23,12000.0
dispatch,S1,P1,24,7083.067897910383
dispatch,S1,P1,25,6898.69110334295
dispatch,S1,P1,26,6790.11685008464
dispatch,S1,P1,27,7112.144885095622
dispatch,S1,P1,28,7226.641985531198
dispatch,S1,P1,29,7344.0
dispatch,S1,P1,30,7389.807103720974
dispatch,S1,P1,31,7360.73366605342
dispatch,S1,P1,32,7180.422382205274
dispatch,S1,P1,33,7066.0985110109905
dispatch,S1,P1,34,7387.061487217434
dispatch,S1,P1,35,7479.482489594957
dispatch,S1,P1,36,7563.113063987534
dispatch,S1,P1,37,7563.113063987534
dispatch,S1,P1,38,7479.482489594957
dispatch,S1,P1,39,7239.320257473097
dispatch,S1,P1,40,7066.0985110109905
dispatch,S1,P1,41,7326.961614495172
dispatch,S1,P1,42,7360.73366605342
dispatch,S1,P1,43,7389.807103720974
dispatch,S1,P1,44,7344.0
dispatch,S1,P1,45,7226.641985531198
dispatch,S1,P1,46,6969.901987393721
dispatch,S1,P1,47,6790.11685008464
dispatch,S1,P1,48,7039.48071769689
dispatch,S1,P1,49,7083.067897910383
dispatch,S1,P1,50,7134.463228329856
dispatch,S1,P1,51,7124.886936012466
dispatch,S1,P1,52,7055.035103306465
dispatch,S1,P1,53,6854.680356630648
dispatch,S1,P1,54,6732.420972271255
dispatch,S1,P1,55,7039.48071769689
dispatch,S1,P1,56,7143.768769359871
dispatch,S1,P1,57,7254.3877827975375
dispatch,S1,P1,58,7298.192896279026
dispatch,S1,P1,59,0.0
dispatch,S1,P2,0,0.0
dispatch,S1,P2,1,0.0
dispatch,S1,P2,2,0.0
dispatch,S1,P2,3,0.0
dispatch,S1,P2,4,0.0
dispatch,S1,P2,5,0.0
dispatch,S1,P2,6,0.0
dispatch,S1,P2,7,0.0
dispatch,S1,P2,8,0.0
dispatch,S1,P2,9,0.0
dispatch,S1,P2,10,0.0
dispatch,S1,P2,11,0.0
dispatch,S1,P2,12,0.0
dispatch,S1,P2,13,0.0
dispatch,S1,P2,14,0.0
dispatch,S1,P2,15,0.0
dispatch,S1,P2,16,0.0
dispatch,S1,P2,17,0.0
dispatch,S1,P2,18,0.0
dispatch,S1,P2,19,0.0
dispatch,S1,P2,20,0.0
dispatch,S1,P2,21,0.0
dispatch,S1,P2,22,0.0
dispatch,S1,P2,23,0.0
dispatch,S1,P2,24,0.0
dispatch,S1,P2,25,0.0
dispatch,S1,P2,26,0.0
dispatch,S1,P2,27,0.0
dispatch,S1,P2,28,0.0
dispatch,S1,P2,29,0.0
dispatch,S1,P2,30,0.0
dispatch,S1,P2,31,0.0
dispatch,S1,P2,32,0.0
dispatch,S1,P2,33,0.0
dispatch,S1,P2,34,0.0
dispatch,S1,P2,35,0.0
dispatch,S1,P2,36,0.0
dispatch,S1,P2,37,0.0
dispatch,S1,P2,38,0.0
dispatch,S1,P2,39,0.0
dispatch,S1,P2,40,0.0
dispatch,S1,P2,41,0.0
dispatch,S1,P2,42,0.0
dispatch,S1,P2,43,0.0
dispatch,S1,P2,44,0.0
dispatch,S1,P2,45,0.0
dispatch,S1,P2,46,0.0
dispatch,S1,P2,47,0.0
dispatch,S1,P2,48,0.0
dispatch,S1,P2,49,0.0
dispatch,S1,P2,50,0.0
dispatch,S1,P2,51,0.0
dispatch,S1,P2,52,0.0
dispatch,S1,P2,53,0.0
dispatch,S1,P2,54,0.0
dispatch,S1,P2,55,0.0
dispatch,S1,P2,56,0.0
dispatch,S1,P2,57,0.0
dispatch,S1,P2,58,0.0
dispatch,S1,P2,59,0.0
dispatch,S1,P3,0,0.0
dispatch,S1,P3,1,0.0
dispatch,S1,P3,2,0.0
dispatch,S1,P3,3,0.0
dispatch,S1,P3,4,0.0
dispatch,S1,P3,5,0.0
dispatch,S1,P3,6,0.0
dispatch,S1,P3,7,0.0
dispatch,S1,P3,8,0.0
dispatch,S1,P3,9,0.0
dispatch,S1,P3,10,0.0
dispatch,S1,P3,11,0.0
dispatch,S1,P3,12,0.0
dispatch,S1,P3,13,0.0
dispatch,S1,P3,14,0.0
dispatch,S1,P3,15,0.0
dispatch,S1,P3,16,0.0
dispatch,S1,P3,17,0.0
dispatch,S1,P3,18,0.0
dispatch,S1,P3,19,0.0
dispatch,S1,P3,20,0.0
dispatch,S1,P3,21,0.0
dispatch,S1,P3,22,0.0
dispatch,S1,P3,23,0.0
dispatch,S1,P3,24,0.0
dispatch,S1,P3,25,0.0
dispatch,S1,P3,26,0.0
dispatch,S1,P3,27,0.0
dispatch,S1,P3,28,0.0
dispatch,S1,P3,29,0.0
dispatch,S1,P3,30,0.0
dispatch,S1,P3,31,0.0
dispatch,S1,P3,32,0.0
dispatch,S1,P3,33,0.0
dispatch,S1,P3,34,0.0
dispatch,S1,P3,35,0.0
dispatch,S1,P3,36,0.0
dispatch,S1,P3,37,0.0
dispatch,S1,P3,38,0.0
dispatch,S1,P3,39,0.0
dispatch,S1,P3,40,0.0
dispatch,S1,P3,41,0.0
dispatch,S1,P3,42,0.0
dispatch,S1,P3,43,0.0
dispatch,S1,P3,44,0.0
dispatch,S1,P3,45,0.0
dispatch,S1,P3,46,0.0
dispatch,S1,P3,47,0.0
dispatch,S1,P3,48,0.0
dispatch,S1,P3,49,0.0
dispatch,S1,P3,50,0.0
