date,source,plant,day,cost
2026-09-08,S1,P1,0,120.0
2026-09-08,S1,P2,0,220.0
2026-09-08,S1,P3,0,260.0
2026-09-08,S1,P4,0,300.0
2026-09-08,S1,P5,0,320.0
2026-09-08,S1,P6,0,250.0
2026-09-08,S2,P1,0,230.0
2026-09-08,S2,P2,0,110.0
2026-09-08,S2,P3,0,170.0
2026-09-08,S2,P4,0,200.0
2026-09-08,S2,P5,0,170.0
2026-09-08,S2,P6,0,190.0
2026-09-08,S3,P1,0,310.0
2026-09-08,S3,P2,0,230.0
2026-09-08,S3,P3,0,120.0
2026-09-08,S3,P4,0,100.0
2026-09-08,S3,P5,0,180.0
2026-09-08,S3,P6,0,190.0
2026-09-08,S4,P1,0,280.0
2026-09-08,S4,P2,0,150.0
2026-09-08,S4,P3,0,160.0
2026-09-08,S4,P4,0,170.0
2026-09-08,S4,P5,0,105.0
2026-09-08,S4,P6,0,140.0
2026-09-09,S1,P1,1,120.0
2026-09-09,S1,P2,1,220.0
2026-09-09,S1,P3,1,260.0
2026-09-09,S1,P4,1,300.0
2026-09-09,S1,P5,1,320.0
2026-09-09,S1,P6,1,250.0
2026-09-09,S2,P1,1,230.0
2026-09-09,S2,P2,1,110.0
2026-09-09,S2,P3,1,170.0
2026-09-09,S2,P4,1,200.0
2026-09-09,S2,P5,1,170.0
2026-09-09,S2,P6,1,190.0
2026-09-09,S3,P1,1,310.0
2026-09-09,S3,P2,1,230.0
2026-09-09,S3,P3,1,120.0
2026-09-09,S3,P4,1,100.0
2026-09-09,S3,P5,1,180.0
2026-09-09,S3,P6,1,190.0
2026-09-09,S4,P1,1,280.0
2026-09-09,S4,P2,1,150.0
2026-09-09,S4,P3,1,160.0
2026-09-09,S4,P4,1,170.0
2026-09-09,S4,P5,1,105.0
2026-09-09,S4,P6,1,140.0
2026-09-10,S1,P1,2,120.0
2026-09-10,S1,P2,2,220.0
2026-09-10,S1,P3,2,260.0
2026-09-10,S1,P4,2,300.0
2026-09-10,S1,P5,2,320.0
2026-09-10,S1,P6,2,250.0
