date,source,day,capacity
2026-09-08,S1,0,16000.0
2026-09-08,S2,0,13000.0
2026-09-08,S3,0,15000.0
2026-09-08,S4,0,12000.0
2026-09-09,S1,1,16000.0
2026-09-09,S2,1,13000.0
2026-09-09,S3,1,15000.0
2026-09-09,S4,1,12000.0
2026-09-10,S1,2,16000.0
2026-09-10,S2,2,13000.0
2026-09-10,S3,2,15000.0
2026-09-10,S4,2,12000.0
2026-09-11,S1,3,16000.0
2026-09-11,S2,3,13000.0
2026-09-11,S3,3,15000.0
2026-09-11,S4,3,12000.0
2026-09-12,S1,4,16000.0
2026-09-12,S2,4,13000.0
2026-09-12,S3,4,15000.0
2026-09-12,S4,4,12000.0
2026-09-13,S1,5,16000.0
2026-09-13,S2,5,13000.0
2026-09-13,S3,5,15000.0
2026-09-13,S4,5,12000.0
2026-09-14,S1,6,16000.0
2026-09-14,S2,6,13000.0
2026-09-14,S3,6,15000.0
2026-09-14,S4,6,12000.0
2026-09-15,S1,7,16000.0
2026-09-15,S2,7,13000.0
2026-09-15,S3,7,15000.0
2026-09-15,S4,7,12000.0
2026-09-16,S1,8,16000.0
2026-09-16,S2,8,13000.0
2026-09-16,S3,8,15000.0
2026-09-16,S4,8,12000.0
2026-09-17,S1,9,16000.0
2026-09-17,S2,9,13000.0
2026-09-17,S3,9,15000.0
2026-09-17,S4,9,12000.0
2026-09-18,S1,10,16000.0
2026-09-18,S2,10,13000.0
2026-09-18,S3,10,15000.0
2026-09-18,S4,10,12000.0
2026-09-19,S1,11,16000.0
2026-09-19,S2,11,13000.0
2026-09-19,S3,11,15000.0
2026-09-19,S4,11,12000.0
2026-09-20,S1,12,16000.0
2026-09-20,S2,12,13000.0
2026-09-20,S3,12,15000.0
2026-09-20,S4,12,12000.0
2026-09-21,S1,13,16000.0
2026-09-21,S2,13,13000.0
2026-09-21,S3,13,15000.0
2026-09-21,S4,13,12000.0
2026-09-22,S1,14,16000.0
2026-09-22,S2,14,13000.0
2026-09-22,S3,14,15000.0
2026-09-22,S4,14,12000.0
2026-09-23,S1,15,16000.0
2026-09-23,S2,15,13000.0
2026-09-23,S3,15,15000.0
2026-09-23,S4,15,12000.0
2026-09-24,S1,16,16000.0
2026-09-24,S2,16,13000.0
2026-09-24,S3,16,15000.0
2026-09-24,S4,16,12000.0
2026-09-25,S1,17,16000.0
2026-09-25,S2,17,13000.0
2026-09-25,S3,17,15000.0
2026-09-25,S4,17,12000.0
2026-09-26,S1,18,16000.0
2026-09-26,S2,18,13000.0
2026-09-26,S3,18,15000.0
2026-09-26,S4,18,12000.0
2026-09-27,S1,19,16000.0
2026-09-27,S2,19,13000.0
2026-09-27,S3,19,15000.0
2026-09-27,S4,19,12000.0
2026-09-28,S1,20,16000.0
2026-09-28,S2,20,13000.0
2026-09-28,S3,20,15000.0
2026-09-28,S4,20,12000.0
2026-09-29,S1,21,16000.0
2026-09-29,S2,21,13000.0
2026-09-29,S3,21,15000.0
2026-09-29,S4,21,12000.0
2026-09-30,S1,22,16000.0
2026-09-30,S2,22,13000.0
2026-09-30,S3,22,15000.0
2026-09-30,S4,22,12000.0
2026-10-01,S1,23,16000.0
2026-10-01,S2,23,13000.0
2026-10-01,S3,23,15000.0
2026-10-01,S4,23,12000.0
2026-10-02,S1,24,16000.0
2026-10-02,S2,24,13000.0
2026-10-02,S3,24,15000.0
2026-10-02,S4,24,12000.0
2026-10-03,S1,25,16000.0
2026-10-03,S2,25,13000.0
2026-10-03,S3,25,15000.0
2026-10-03,S4,25,12000.0
2026-10-04,S1,26,16000.0
2026-10-04,S2,26,13000.0
2026-10-04,S3,26,15000.0
2026-10-04,S4,26,12000.0
2026-10-05,S1,27,16000.0
2026-10-05,S2,27,13000.0
2026-10-05,S3,27,15000.0
2026-10-05,S4,27,12000.0
2026-10-06,S1,28,16000.0
2026-10-06,S2,28,13000.0
2026-10-06,S3,28,15000.0
2026-10-06,S4,28,12000.0
2026-10-07,S1,29,16000.0
2026-10-07,S2,29,13000.0
2026-10-07,S3,29,15000.0
2026-10-07,S4,29,12000.0
2026-10-08,S1,30,16000.0
2026-10-08,S2,30,13000.0
2026-10-08,S3,30,15000.0
2026-10-08,S4,30,12000.0
2026-10-09,S1,31,16000.0
2026-10-09,S2,31,13000.0
2026-10-09,S3,31,15000.0
2026-10-09,S4,31,12000.0
2026-10-10,S1,32,16000.0
2026-10-10,S2,32,13000.0
2026-10-10,S3,32,15000.0
2026-10-10,S4,32,12000.0
2026-10-11,S1,33,16000.0
2026-10-11,S2,33,13000.0
2026-10-11,S3,33,15000.0
2026-10-11,S4,33,12000.0
2026-10-12,S1,34,16000.0
2026-10-12,S2,34,13000.0
2026-10-12,S3,34,15000.0
2026-10-12,S4,34,12000.0
2026-10-13,S1,35,16000.0
2026-10-13,S2,35,13000.0
2026-10-13,S3,35,15000.0
2026-10-13,S4,35,12000.0
2026-10-14,S1,36,16000.0
2026-10-14,S2,36,13000.0
2026-10-14,S3,36,15000.0
2026-10-14,S4,36,12000.0
2026-10-15,S1,37,16000.0
2026-10-15,S2,37,13000.0
2026-10-15,S3,37,15000.0
2026-10-15,S4,37,12000.0
2026-10-16,S1,38,16000.0
2026-10-16,S2,38,13000.0
2026-10-16,S3,38,15000.0
2026-10-16,S4,38,12000.0
2026-10-17,S1,39,16000.0
2026-10-17,S2,39,13000.0
2026-10-17,S3,39,15000.0
2026-10-17,S4,39,12000.0
2026-10-18,S1,40,16000.0
2026-10-18,S2,40,13000.0
2026-10-18,S3,40,15000.0
2026-10-18,S4,40,12000.0
2026-10-19,S1,41,16000.0
2026-10-19,S2,41,13000.0
2026-10-19,S3,41,15000.0
2026-10-19,S4,41,12000.0
2026-10-20,S1,42,16000.0
2026-10-20,S2,42,13000.0
