source,plant,day,delay_hours,base_lead_days,forecast_confidence
S1,P1,0,43.3,1.0,high
S1,P1,1,36.805,1.0,high
S1,P1,2,36.805,1.0,high
S1,P1,3,25.979999999999997,1.0,medium
S1,P1,4,25.979999999999997,1.0,medium
S1,P1,5,25.979999999999997,1.0,medium
S1,P1,6,25.979999999999997,1.0,medium
S1,P1,7,10.825,1.0,low
S1,P1,8,10.825,1.0,low
S1,P1,9,10.825,1.0,low
S1,P1,10,10.825,1.0,low
S1,P1,11,10.825,1.0,low
S1,P1,12,10.825,1.0,low
S1,P1,13,10.825,1.0,low
S1,P1,14,0.0,1.0,low
S1,P1,15,0.0,1.0,low
S1,P1,16,0.0,1.0,low
S1,P1,17,0.0,1.0,low
S1,P1,18,0.0,1.0,low
S1,P1,19,0.0,1.0,low
S1,P1,20,0.0,1.0,low
S1,P1,21,0.0,1.0,low
S1,P1,22,0.0,1.0,low
S1,P1,23,0.0,1.0,low
S1,P1,24,0.0,1.0,low
S1,P1,25,0.0,1.0,low
S1,P1,26,0.0,1.0,low
S1,P1,27,0.0,1.0,low
S1,P1,28,0.0,1.0,low
S1,P1,29,0.0,1.0,low
S1,P1,30,0.0,1.0,low
S1,P1,31,0.0,1.0,low
S1,P1,32,0.0,1.0,low
S1,P1,33,0.0,1.0,low
S1,P1,34,0.0,1.0,low
S1,P1,35,0.0,1.0,low
S1,P1,36,0.0,1.0,low
S1,P1,37,0.0,1.0,low
S1,P1,38,0.0,1.0,low
S1,P1,39,0.0,1.0,low
S1,P1,40,0.0,1.0,low
S1,P1,41,0.0,1.0,low
S1,P1,42,0.0,1.0,low
S1,P1,43,0.0,1.0,low
S1,P1,44,0.0,1.0,low
S1,P1,45,0.0,1.0,low
S1,P1,46,0.0,1.0,low
S1,P1,47,0.0,1.0,low
S1,P1,48,0.0,1.0,low
S1,P1,49,0.0,1.0,low
S1,P1,50,0.0,1.0,low
S1,P1,51,0.0,1.0,low
S1,P1,52,0.0,1.0,low
S1,P1,53,0.0,1.0,low
S1,P1,54,0.0,1.0,low
S1,P1,55,0.0,1.0,low
S1,P1,56,0.0,1.0,low
S1,P1,57,0.0,1.0,low
S1,P1,58,0.0,1.0,low
S1,P1,59,0.0,1.0,low
S1,P2,0,48.9,2.0,high
S1,P2,1,41.565,2.0,high
S1,P2,2,41.565,2.0,high
S1,P2,3,29.339999999999996,2.0,medium
S1,P2,4,29.339999999999996,2.0,medium
S1,P2,5,29.339999999999996,2.0,medium
S1,P2,6,29.339999999999996,2.0,medium
S1,P2,7,12.225,2.0,low
S1,P2,8,12.225,2.0,low
S1,P2,9,12.225,2.0,low
S1,P2,10,12.225,2.0,low
S1,P2,11,12.225,2.0,low
S1,P2,12,12.225,2.0,low
S1,P2,13,12.225,2.0,low
S1,P2,14,0.0,2.0,low
S1,P2,15,0.0,2.0,low
S1,P2,16,0.0,2.0,low
S1,P2,17,0.0,2.0,low
S1,P2,18,0.0,2.0,low
S1,P2,19,0.0,2.0,low
S1,P2,20,0.0,2.0,low
S1,P2,21,0.0,2.0,low
S1,P2,22,0.0,2.0,low
S1,P2,23,0.0,2.0,low
S1,P2,24,0.0,2.0,low
S1,P2,25,0.0,2.0,low
S1,P2,26,0.0,2.0,low
S1,P2,27,0.0,2.0,low
S1,P2,28,0.0,2.0,low
S1,P2,29,0.0,2.0,low
S1,P2,30,0.0,2.0,low
S1,P2,31,0.0,2.0,low
S1,P2,32,0.0,2.0,low
S1,P2,33,0.0,2.0,low
S1,P2,34,0.0,2.0,low
S1,P2,35,0.0,2.0,low
S1,P2,36,0.0,2.0,low
S1,P2,37,0.0,2.0,low
S1,P2,38,0.0,2.0,low
S1,P2,39,0.0,2.0,low
S1,P2,40,0.0,2.0,low
S1,P2,41,0.0,2.0,low
S1,P2,42,0.0,2.0,low
S1,P2,43,0.0,2.0,low
S1,P2,44,0.0,2.0,low
S1,P2,45,0.0,2.0,low
S1,P2,46,0.0,2.0,low
S1,P2,47,0.0,2.0,low
S1,P2,48,0.0,2.0,low
S1,P2,49,0.0,2.0,low
S1,P2,50,0.0,2.0,low
S1,P2,51,0.0,2.0,low
S1,P2,52,0.0,2.0,low
S1,P2,53,0.0,2.0,low
S1,P2,54,0.0,2.0,low
S1,P2,55,0.0,2.0,low
S1,P2,56,0.0,2.0,low
S1,P2,57,0.0,2.0,low
S1,P2,58,0.0,2.0,low
S1,P2,59,0.0,2.0,low
S1,P3,0,48.9,2.0,high
S1,P3,1,41.565,2.0,high
S1,P3,2,41.565,2.0,high
S1,P3,3,29.339999999999996,2.0,medium
S1,P3,4,29.339999999999996,2.0,medium
S1,P3,5,29.339999999999996,2.0,medium
S1,P3,6,29.339999999999996,2.0,medium
S1,P3,7,12.225,2.0,low
S1,P3,8,12.225,2.0,low
S1,P3,9,12.225,2.0,low
S1,P3,10,12.225,2.0,low
S1,P3,11,12.225,2.0,low
S1,P3,12,12.225,2.0,low
S1,P3,13,12.225,2.0,low
S1,P3,14,0.0,2.0,low
S1,P3,15,0.0,2.0,low
S1,P3,16,0.0,2.0,low
S1,P3,17,0.0,2.0,low
S1,P3,18,0.0,2.0,low
S1,P3,19,0.0,2.0,low
S1,P3,20,0.0,2.0,low
S1,P3,21,0.0,2.0,low
S1,P3,22,0.0,2.0,low
S1,P3,23,0.0,2.0,low
S1,P3,24,0.0,2.0,low
S1,P3,25,0.0,2.0,low
S1,P3,26,0.0,2.0,low
S1,P3,27,0.0,2.0,low
S1,P3,28,0.0,2.0,low
S1,P3,29,0.0,2.0,low
S1,P3,30,0.0,2.0,low
S1,P3,31,0.0,2.0,low
S1,P3,32,0.0,2.0,low
S1,P3,33,0.0,2.0,low
S1,P3,34,0.0,2.0,low
