plant,day,buffer_gap,inventory,shortfall,target_inventory,target_days
P1,0,0.0,137800.0,0.0,122502.2514910379,17.0
P1,1,0.0,130482.6419855312,0.0,122502.2514910379,17.0
P1,2,0.0,123049.02976832874,0.0,122502.2514910379,17.0
P1,3,6926.722569494246,115575.52892154365,0.0,122502.2514910379,17.0
P1,4,12900.847044620401,109601.4044464175,0.0,122502.2514910379,17.0
P1,5,18680.167302093498,103822.0841889444,0.0,122502.2514910379,17.0
P1,6,21229.37838131246,101272.87310972543,0.0,122502.2514910379,17.0
P1,7,24084.19511071201,98418.05638032588,0.0,122502.2514910379,17.0
P1,8,27013.16000740556,95489.09148363234,0.0,122502.2514910379,17.0
P1,9,21106.696779075704,101395.55471196219,0.0,122502.2514910379,17.0
P1,10,19741.49949603749,102760.7519950004,0.0,122502.2514910379,17.0
P1,11,18275.623971163644,104226.62751987425,0.0,122502.2514910379,17.0
P1,12,16556.046353368918,105946.20513766898,0.0,122502.2514910379,17.0
P1,13,14652.387263677112,107849.86422736078,0.0,122502.2514910379,17.0
P1,14,12997.296188893743,109504.95530214415,0.0,122502.2514910379,17.0
P1,15,11369.296188893743,111132.95530214415,0.0,122502.2514910379,17.0
P1,16,18667.48908517277,103834.76240586513,0.0,122502.2514910379,17.0
P1,17,25921.876867970306,96580.37462306759,0.0,122502.2514910379,17.0
P1,18,30059.930864256763,92442.32062678113,0.0,122502.2514910379,17.0
P1,19,24958.621967599713,97543.62952343818,0.0,122502.2514910379,17.0
P1,20,19691.042939870968,102811.20855116693,0.0,122502.2514910379,17.0
P1,21,14685.614732351212,107816.63675868668,0.0,122502.2514910379,17.0
P1,22,9740.649835657678,112761.60165538022,0.0,122502.2514910379,17.0
P1,23,4865.536771670144,117636.71471936775,0.0,122502.2514910379,17.0
P1,24,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,25,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,26,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,27,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,28,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,29,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,30,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,31,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,32,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,33,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,34,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,35,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,36,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,37,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,38,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,39,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,40,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,41,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,42,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,43,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,44,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,45,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,46,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,47,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,48,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,49,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,50,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,51,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,52,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,53,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,54,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,55,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,56,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,57,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,58,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P1,59,0.0,122502.2514910379,0.0,122502.2514910379,17.0
P2,0,30641.180571776145,138500.0,0.0,169141.18057177615,26.0
P2,1,37247.128779282706,131894.05179249344,0.0,169141.18057177615,26.0
P2,2,43958.02869759049,125183.15187418566,0.0,169141.18057177615,26.0
P2,3,40834.93918427147,128306.24138750468,0.0,169141.18057177615,26.0
P2,4,36866.80155764925,132274.3790141269,0.0,169141.18057177615,26.0
P2,5,32722.799012312462,136418.38155946368,0.0,169141.18057177615,26.0
P2,6,27778.83679216291,141362.34377961323,0.0,169141.18057177615,26.0
P2,7,23110.76856175973,146030.41201001641,0.0,169141.18057177615,26.0
P2,8,18509.639649052522,150631.54092272362,0.0,169141.18057177615,26.0
P2,9,11121.38517380951,158019.79539796663,0.0,169141.18057177615,26.0
P2,10,5606.137626622221,163535.04294515392,0.0,169141.18057177615,26.0
P2,11,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,12,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,13,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,14,5752.5,163388.68057177615,0.0,169141.18057177615,26.0
P2,15,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,16,6588.646364696353,162552.5342070798,0.0,169141.18057177615,26.0
P2,17,6550.764305438992,162590.41626633715,0.0,169141.18057177615,26.0
P2,18,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,19,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,20,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,21,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,22,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,23,170.29375510054524,168970.8868166756,0.0,169141.18057177615,26.0
P2,24,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,25,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,26,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,27,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,28,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,29,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,30,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,31,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,32,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,33,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,34,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,35,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,36,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,37,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,38,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,39,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,40,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,41,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,42,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,43,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,44,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,45,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,46,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,47,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,48,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,49,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,50,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,51,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,52,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,53,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,54,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,55,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,56,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,57,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,58,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P2,59,0.0,169141.18057177615,0.0,169141.18057177615,26.0
P3,0,28747.696598165814,148200.0,0.0,176947.6965981658,26.0
P3,1,35658.5347229419,141289.16187522392,0.0,176947.6965981658,26.0
P3,2,42679.16848363311,134268.5281145327,0.0,176947.6965981658,26.0
P3,3,49737.474838930124,127210.22175923569,0.0,176947.6965981658,26.0
P3,4,56758.59239877149,120189.10419939432,0.0,176947.6965981658,26.0
P3,5,63595.72819749608,113351.96840066974,0.0,176947.6965981658,26.0
P3,6,70309.98310564732,106637.7134925185,0.0,176947.6965981658,26.0
P3,7,77312.86557230244,99634.83102586337,0.0,176947.6965981658,26.0
P3,8,71275.77686362412,105671.91973454169,0.0,176947.6965981658,26.0
P3,9,64197.172703534816,112750.523894631,0.0,176947.6965981658,26.0
P3,10,47628.79488588839,129318.90171227742,0.0,176947.6965981658,26.0
P3,11,53903.91104224854,123043.78555591727,0.0,176947.6965981658,26.0
P3,12,60685.421069886856,116262.27552827896,0.0,176947.6965981658,26.0
P3,13,47245.40213577991,129702.29446238591,0.0,176947.6965981658,26.0
P3,14,33873.957220290526,143073.7393778753,0.0,176947.6965981658,26.0
P3,15,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,16,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,17,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,18,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,19,6515.430486490572,170432.26611167524,0.0,176947.6965981658,26.0
P3,20,12873.828071413416,164073.8685267524,0.0,176947.6965981658,26.0
P3,21,12557.69258650075,164390.00401166506,0.0,176947.6965981658,26.0
P3,22,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,23,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,24,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,25,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,26,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,27,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,28,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,29,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,30,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,31,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,32,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,33,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,34,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,35,0.0,177159.11383330586,0.0,176947.6965981658,26.0
P3,36,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,37,0.0,177073.92272614088,0.0,176947.6965981658,26.0
P3,38,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,39,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,40,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,41,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,42,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,43,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,44,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,45,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,46,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,47,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,48,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,49,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,50,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,51,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,52,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,53,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,54,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,55,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,56,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,57,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,58,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P3,59,0.0,176947.6965981658,0.0,176947.6965981658,26.0
P4,0,30365.072668538283,167400.0,0.0,197765.07266853828,26.0
P4,1,38088.9505726998,159676.12209583848,0.0,197765.07266853828,26.0
P4,2,45935.541246413515,151829.53142212477,0.0,197765.07266853828,26.0
P4,3,41974.236584686645,155790.83608385164,0.0,197765.07266853828,26.0
P4,4,37498.867975097586,160266.2046934407,0.0,197765.07266853828,26.0
P4,5,19707.87269131918,178057.1999772191,0.0,197765.07266853828,26.0
P4,6,14102.03994160585,183663.03272693243,0.0,197765.07266853828,26.0
P4,7,8818.790933749813,188946.28173478847,0.0,197765.07266853828,26.0
P4,8,16723.80943581523,181041.26323272305,0.0,197765.07266853828,26.0
P4,9,24696.987139244826,173068.08552929346,0.0,197765.07266853828,26.0
P4,10,32650.390007148933,165114.68266138935,0.0,197765.07266853828,26.0
P4,11,27031.02280104111,170734.04986749718,0.0,197765.07266853828,26.0
P4,12,20397.85753781334,177367.21513072494,0.0,197765.07266853828,26.0
P4,13,27782.884054249764,169982.18861428852,0.0,197765.07266853828,26.0
P4,14,35430.2879197562,162334.78474878208,0.0,197765.07266853828,26.0
P4,15,43106.2879197562,154658.78474878208,0.0,197765.07266853828,26.0
P4,16,42702.67371231425,155062.39895622403,0.0,197765.07266853828,26.0
P4,17,42211.44927790933,155553.62339062896,0.0,197765.07266853828,26.0
P4,18,41498.98681662907,156266.0858519092,0.0,197765.07266853828,26.0
P4,19,33780.9385368244,163984.1341317139,0.0,197765.07266853828,26.0
P4,20,25887.38289644406,171877.68977209422,0.0,197765.07266853828,26.0
P4,21,18270.542010728765,179494.53065780952,0.0,197765.07266853828,26.0
P4,22,23252.848783164867,174512.22388537342,0.0,197765.07266853828,26.0
P4,23,15871.751567897008,181893.32110064127,0.0,197765.07266853828,26.0
P4,24,8402.573864467413,189362.49880407087,0.0,197765.07266853828,26.0
P4,25,1202.6177933141007,196562.45487522418,0.0,197765.07266853828,26.0
P4,26,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,27,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,28,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,29,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,30,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,31,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,32,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,33,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,34,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,35,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,36,0.0,198017.52492448842,0.0,197765.07266853828,26.0
P4,37,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,38,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,39,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,40,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,41,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,42,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,43,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,44,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,45,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,46,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,47,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,48,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,49,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,50,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,51,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,52,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,53,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,54,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,55,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,56,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,57,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,58,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P4,59,0.0,197765.07266853828,0.0,197765.07266853828,26.0
P5,0,29428.148518996808,124100.0,0.0,153528.1485189968,26.0
P5,1,35424.31689196429,118103.83162703252,0.0,153528.1485189968,26.0
P5,2,41515.7491255052,112012.3993934916,0.0,153528.1485189968,26.0
P5,3,38159.867874954085,115368.28064404272,0.0,153528.1485189968,26.0
P5,4,34393.719875404684,119134.42864359212,0.0,153528.1485189968,26.0
P5,5,19979.94064194514,133548.20787705167,0.0,153528.1485189968,26.0
P5,6,15317.544165194005,138210.6043538028,0.0,153528.1485189968,26.0
P5,7,10905.574540674192,142622.57397832262,0.0,153528.1485189968,26.0
P5,8,6554.365219909174,146973.78329908763,0.0,153528.1485189968,26.0
P5,9,9700.925483621337,143827.22303537547,0.0,153528.1485189968,26.0
P5,10,15875.277710020571,137652.87080897624,0.0,153528.1485189968,26.0
P5,11,10597.12971047117,142931.01880852564,0.0,153528.1485189968,26.0
P5,12,5111.086940333829,148417.06157866298,0.0,153528.1485189968,26.0
P5,13,10844.199630725256,142683.94888827155,0.0,153528.1485189968,26.0
P5,14,5411.0,148117.1485189968,0.0,153528.1485189968,26.0
P5,15,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,16,5980.463623339747,147547.68489565706,0.0,153528.1485189968,26.0
P5,17,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,18,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,19,2973.028550683637,150555.11996831317,0.0,153528.1485189968,26.0
P5,20,2512.9770020417054,151015.1715169551,0.0,153528.1485189968,26.0
P5,21,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,22,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,23,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,24,2141.177522084705,151386.9709969121,0.0,153528.1485189968,26.0
P5,25,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,26,0.0,154028.00935507347,0.0,153528.1485189968,26.0
P5,27,0.0,154339.53884075512,0.0,153528.1485189968,26.0
P5,28,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,29,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,30,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,31,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,32,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,33,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,34,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,35,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,36,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,37,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,38,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,39,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,40,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,41,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,42,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,43,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,44,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,45,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,46,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,47,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,48,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,49,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,50,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,51,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,52,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,53,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,54,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,55,0.0,153778.0688623921,0.0,153528.1485189968,26.0
P5,56,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,57,0.0,153757.27127947396,0.0,153528.1485189968,26.0
P5,58,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P5,59,0.0,153528.1485189968,0.0,153528.1485189968,26.0
P6,0,29534.664545386477,131800.0,0.0,161334.66454538648,26.0
P6,1,35835.7228356235,125498.94170976298,0.0,161334.66454538648,26.0
P6,2,42236.88891154784,119097.77563383864,0.0,161334.66454538648,26.0
P6,3,48672.40352961277,112662.2610157737,0.0,161334.66454538648,26.0
P6,4,55074.01071652696,106260.65382885952,0.0,161334.66454538648,26.0
P6,5,61307.86982712879,100026.79471825769,0.0,161334.66454538648,26.0
P6,6,67429.69047867844,93904.97406670803,0.0,161334.66454538648,26.0
P6,7,73814.67155121695,87519.99299416953,0.0,161334.66454538648,26.0
P6,8,80263.50243448083,81071.16211090564,0.0,161334.66454538648,26.0
P6,9,86767.93687675236,74566.72766863412,0.0,161334.66454538648,26.0
P6,10,84929.3826960981,76405.28184928838,0.0,161334.66454538648,26.0
P6,11,79960.98988301228,81373.6746623742,0.0,161334.66454538648,26.0
P6,12,86144.13137880016,75190.53316658632,0.0,161334.66454538648,26.0
P6,13,92168.75827378777,69165.90627159871,0.0,161334.66454538648,26.0
P6,14,87037.42984827988,74297.2346971066,0.0,161334.66454538648,26.0
P6,15,93299.42984827988,68035.2346971066,0.0,161334.66454538648,26.0
P6,16,62583.98484229794,98750.67970308854,0.0,161334.66454538648,26.0
P6,17,31830.818766373603,129503.84577901287,0.0,161334.66454538648,26.0
P6,18,19494.410959626373,141840.2535857601,0.0,161334.66454538648,26.0
P6,19,10294.586924359435,151040.07762102704,0.0,161334.66454538648,26.0
P6,20,0.0,161334.66454538648,0.0,161334.66454538648,26.0
